LAST SEEN   TYPE      REASON                            OBJECT                                             MESSAGE
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
104s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
74s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
73s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
46s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
46s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
45s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
45s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
45s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
45s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
45s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
16s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
16s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
15s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
15s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
15s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
15s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
14s         Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-4g6nm                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
2m5s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
2m5s        Normal    Scheduled                         pod/e2e-dev-daemonset-invalid-mjtjl                Successfully assigned ksp-dev/e2e-dev-daemonset-invalid-mjtjl to worker-node-2
104s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy disallow-latest-tag/ fail: Use an explicit version tag or sha256 digest; latest and untagged images are prohibited.
2m2s        Normal    Scheduled                         pod/e2e-dev-statefulset-valid-0                    Successfully assigned ksp-dev/e2e-dev-statefulset-valid-0 to worker-node-2
27s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-cpu-request/ fail: Set resources.requests.cpu on every regular and init container.
27s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-seccomp/ fail: Use seccompProfile.type RuntimeDefault or Localhost; a container override must be independently compliant.
27s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-owner-label/ fail: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
27s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-app-label/ fail: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
27s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
28s         Warning   PolicyViolation                   statefulset/e2e-dev-statefulset-invalid            policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
104s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-cpu-limit/ fail: Set resources.limits.cpu on every regular and init container.
104s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-image-digest/ fail: Reference every image as image@sha256:<64-hex-digest>.
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-memory-limit/ fail: Set resources.limits.memory on every regular and init container.
103s        Warning   PolicyViolation                   pod/e2e-dev-daemonset-invalid-mjtjl                policy require-memory-request/ fail: Set resources.requests.memory on every regular and init container.
