]633;E;echo "=== PRODUCTION EVENTS ===";a57e926e-56e4-467c-a992-f7817797de3c]633;C=== PRODUCTION EVENTS ===
LAST SEEN   TYPE      REASON                            OBJECT                                            MESSAGE
74s         Warning   Failed                            pod/e2e-prod-daemonset-valid-p8646                Failed to pull image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to pull and unpack image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to resolve image: failed to do request: Head "https://harbor-public:30003/v2/ksp-test/signed/manifests/sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": dial tcp: lookup harbor-public on 115.84.177.20:53: no such host
73s         Warning   FailedToRetrieveImagePullSecret   pod/e2e-prod-pod-valid                            Unable to retrieve some image pull secrets (harbor-registry-credentials); attempting to pull the image may not succeed.
69s         Normal    Pulling                           pod/e2e-prod-job-valid-fcnp6                      Pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
69s         Warning   Failed                            pod/e2e-prod-job-valid-fcnp6                      Failed to pull image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to pull and unpack image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f": failed to resolve image: pull access denied, repository does not exist or may require authorization: authorization failed: no basic auth credentials
69s         Warning   Failed                            pod/e2e-prod-job-valid-fcnp6                      Error: ErrImagePull
67s         Warning   FailedToRetrieveImagePullSecret   pod/e2e-prod-deployment-valid-65bdd745cb-r2rg8    Unable to retrieve some image pull secrets (harbor-registry-credentials); attempting to pull the image may not succeed.
65s         Warning   FailedToRetrieveImagePullSecret   pod/e2e-prod-statefulset-valid-0                  Unable to retrieve some image pull secrets (harbor-registry-credentials); attempting to pull the image may not succeed.
60s         Warning   FailedToRetrieveImagePullSecret   pod/e2e-prod-daemonset-valid-ssq69                Unable to retrieve some image pull secrets (harbor-registry-credentials); attempting to pull the image may not succeed.
59s         Warning   FailedToRetrieveImagePullSecret   pod/e2e-prod-daemonset-valid-p8646                Unable to retrieve some image pull secrets (harbor-registry-credentials); attempting to pull the image may not succeed.
58s         Warning   FailedToRetrieveImagePullSecret   pod/e2e-prod-job-valid-fcnp6                      Unable to retrieve some image pull secrets (harbor-registry-credentials); attempting to pull the image may not succeed.
18s         Normal    BackOff                           pod/e2e-prod-pod-valid                            Back-off pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
10s         Normal    BackOff                           pod/e2e-prod-daemonset-valid-ssq69                Back-off pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
10s         Normal    BackOff                           pod/e2e-prod-deployment-valid-65bdd745cb-r2rg8    Back-off pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
5s          Warning   FailedCreate                      cronjob/e2e-prod-cronjob-valid                    Error creating job: admission webhook "vpol.validate.kyverno.svc-fail-finegrained-require-app-label" denied the request: Policy require-app-label failed: Add metadata.labels.app.kubernetes.io/name with a meaningful application name.
3s          Normal    Pulling                           pod/e2e-prod-pod-valid                            Pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
3s          Normal    BackOff                           pod/e2e-prod-job-valid-fcnp6                      Back-off pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
1s          Normal    BackOff                           pod/e2e-prod-daemonset-valid-p8646                Back-off pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"
1s          Warning   FailedCreate                      cronjob/e2e-prod-cronjob-valid                    Error creating job: admission webhook "vpol.validate.kyverno.svc-fail-finegrained-require-owner-label" denied the request: Policy require-owner-label failed: Add metadata.labels.policies.ksp.io/owner with the accountable team slug.
0s          Normal    BackOff                           pod/e2e-prod-statefulset-valid-0                  Back-off pulling image "harbor-public:30003/ksp-test/signed@sha256:b7f3d86d6e84fc17718c48bcde1450807faa2d56704205c697b4bd5df7b9e29f"

=== E2E RELATED EVENTS ===
