NAMESPACE            LAST SEEN   TYPE      REASON               OBJECT                                                             MESSAGE
default              45m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              44m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              44m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              43m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              43m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              43m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              42m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              41m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              41m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              40m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              40m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              39m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              39m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              38m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              38m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              37m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              37m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
default              36m         Warning   PolicyViolation      namespace/harbor                                                   policy require-namespace-environment-profile/ fail: Set ksp.io/environment to production for this production cluster.
