LAST SEEN   TYPE      REASON              OBJECT                                               MESSAGE
3m40s       Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-65d97f9d85   Deleted pod: kyverno-admission-controller-65d97f9d85-464t6
3m40s       Normal    Killing             pod/kyverno-admission-controller-65d97f9d85-464t6    Stopping container kyverno
3m40s       Normal    ScalingReplicaSet   deployment/kyverno-admission-controller              Scaled up replica set kyverno-admission-controller-6fdd8c56c9 from 2 to 3
3m40s       Normal    ScalingReplicaSet   deployment/kyverno-admission-controller              Scaled down replica set kyverno-admission-controller-65d97f9d85 from 3 to 2
3m39s       Normal    Pulled              pod/kyverno-admission-controller-6fdd8c56c9-4f4l2    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
3m39s       Normal    Created             pod/kyverno-admission-controller-6fdd8c56c9-4f4l2    Container created
3m39s       Normal    Started             pod/kyverno-admission-controller-6fdd8c56c9-4f4l2    Container started
3m22s       Normal    Created             pod/kyverno-admission-controller-6fdd8c56c9-4f4l2    Container created
3m22s       Normal    Started             pod/kyverno-admission-controller-6fdd8c56c9-4f4l2    Container started
3m22s       Normal    Pulled              pod/kyverno-admission-controller-6fdd8c56c9-4f4l2    Container image "reg.kyverno.io/kyverno/kyverno:v1.18.2" already present on machine and can be accessed by the pod
3m15s       Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-65d97f9d85   Deleted pod: kyverno-admission-controller-65d97f9d85-d4ct9
3m15s       Normal    SuccessfulCreate    replicaset/kyverno-admission-controller-6fdd8c56c9   Created pod: kyverno-admission-controller-6fdd8c56c9-7s8f5
3m15s       Normal    Killing             pod/kyverno-admission-controller-65d97f9d85-d4ct9    Stopping container kyverno
3m15s       Normal    ScalingReplicaSet   deployment/kyverno-admission-controller              Scaled down replica set kyverno-admission-controller-65d97f9d85 from 2 to 1
3m15s       Normal    ScalingReplicaSet   deployment/kyverno-admission-controller              Scaled up replica set kyverno-admission-controller-6fdd8c56c9 from 3 to 4
3m14s       Normal    Started             pod/kyverno-admission-controller-6fdd8c56c9-7s8f5    Container started
3m14s       Normal    Pulled              pod/kyverno-admission-controller-6fdd8c56c9-7s8f5    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
3m14s       Normal    Created             pod/kyverno-admission-controller-6fdd8c56c9-7s8f5    Container created
3m4s        Normal    SuccessfulCreate    replicaset/kyverno-admission-controller-54d58cc467   Created pod: kyverno-admission-controller-54d58cc467-mk9nz
3m4s        Normal    Pulled              pod/kyverno-admission-controller-54d58cc467-mk9nz    Container image "reg.kyverno.io/kyverno/kyvernopre:v1.18.2" already present on machine and can be accessed by the pod
3m4s        Normal    SuccessfulDelete    replicaset/kyverno-admission-controller-6fdd8c56c9   Deleted pod: kyverno-admission-controller-6fdd8c56c9-7s8f5
3m4s        Normal    Killing             pod/kyverno-admission-controller-6fdd8c56c9-7s8f5    Stopping container kyverno-pre
3m4s        Normal    Created             pod/kyverno-admission-controller-54d58cc467-mk9nz    Container created
3m4s        Normal    ScalingReplicaSet   deployment/kyverno-admission-controller              Scaled down replica set kyverno-admission-controller-6fdd8c56c9 from 4 to 3
3m3s        Normal    Started             pod/kyverno-admission-controller-54d58cc467-mk9nz    Container started
2m48s       Normal    Started             pod/kyverno-admission-controller-54d58cc467-mk9nz    Container started
2m48s       Normal    Created             pod/kyverno-admission-controller-54d58cc467-mk9nz    Container created
